game_id,player_id,model_name,role,team,outcome,won,num_turns
54516,0,MGC-test-gpt4o,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
54521,5,test-gpt4o-v6,Villager,Village,All Mafia were eliminated. Village wins!,True,8
54640,1,RobustMafiaAgent-V3,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
54640,5,qwen/qwen-plus,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
54660,1,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
54661,2,google/gemma-3-12b-it,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,1
55208,4,qwen/qwen-plus,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55209,0,meta-llama/llama-4-scout,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
55222,3,google/gemini-2.0-flash-lite-001,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,4
55225,0,ZeroR-baseline-social-v1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,4
55229,4,ZeroR-baseline-social-v1,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55233,1,qwen/qwen-plus,Detective,Village,All Mafia were eliminated. Village wins!,True,1
55277,5,T1-Base-Gemini-Akash-V1,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,2
55277,3,qwen/qwen-turbo,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,1
55281,5,google/gemini-2.0-flash-lite-001,Villager,Village,All Mafia were eliminated. Village wins!,True,5
55283,1,T1-Base-Gemini-Akash-V1,Villager,Village,All Mafia were eliminated. Village wins!,True,4
55283,0,google/gemini-2.0-flash-001,Detective,Village,All Mafia were eliminated. Village wins!,True,5
55284,2,meta-llama/llama-4-maverick,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55294,5,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
55299,4,meta-llama/llama-4-scout,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,4
55303,1,T1-Base-Gemini-Akash-V1,Detective,Village,All Mafia were eliminated. Village wins!,True,11
55308,5,T1-Base-Gemini-Akash-V1,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
55339,0,meta-llama/llama-4-scout,Doctor,Village,All Mafia were eliminated. Village wins!,True,7
55339,1,meta-llama/llama-4-maverick,Detective,Village,All Mafia were eliminated. Village wins!,True,6
55355,3,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
55371,0,qwen/qwen-plus,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,10
55374,3,google/gemma-3-12b-it,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,8
55389,0,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
55391,2,qwen/qwen-turbo,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,4
55393,0,google/gemma-3-12b-it,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,6
55399,4,meta-llama/llama-4-maverick,Detective,Village,All Mafia were eliminated. Village wins!,True,5
55401,1,google/gemini-2.0-flash-001,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
55412,0,qwen/qwen-plus,Villager,Village,All Mafia were eliminated. Village wins!,True,4
55414,1,meta-llama/llama-4-maverick,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,1
55419,4,google/gemini-2.0-flash-001,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55427,1,google/gemini-2.0-flash-001,Detective,Village,All Mafia were eliminated. Village wins!,True,6
55430,2,meta-llama/llama-4-maverick,Detective,Village,All Mafia were eliminated. Village wins!,True,6
55439,3,meta-llama/llama-4-maverick,Villager,Village,All Mafia were eliminated. Village wins!,True,4
55440,3,google/gemma-3-12b-it,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
55441,4,T1-Base-Gemini-Akash-V1,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,9
55449,3,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,1
55473,4,meta-llama/llama-4-scout,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
55473,2,google/gemma-3-12b-it,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
55493,5,meta-llama/llama-4-scout,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
55495,4,meta-llama/llama-4-scout,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
55498,0,google/gemini-2.0-flash-001,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55501,5,qwen/qwen-turbo,Detective,Village,All Mafia were eliminated. Village wins!,True,7
